#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
7000,-370559.4325884413,298.2159711681648,232.57337430645663
7100,-370595.4920204242,300.80115729634184,232.57337430645663
7200,-371297.7080016633,303.9778194613189,232.57337430645663
7300,-370652.3162813001,302.6209029869673,233.07344726812278
7400,-370705.04024513485,305.49243008892904,233.07344726812278
7500,-370672.8486838414,302.80441522903226,232.9465841725089
7600,-371227.4557926649,304.7463050175672,232.93588982712077
7700,-371113.22273510566,301.2144031282524,233.18382094184844
7800,-371191.7540729189,303.6279011121018,232.8041562502994
7900,-371182.51446268416,300.6393635488539,233.0551187080495
8000,-372208.85890022345,298.5293387582611,232.48476698223433
8100,-371433.54040014633,299.6411187728494,232.48476698223433
8200,-371788.0758977899,299.3063030058741,232.4371964059754
8300,-372163.2585194169,300.730698834175,231.9467185348862
8400,-371591.799109156,300.5083207224169,231.9467185348862
8500,-370763.8044307059,301.57385317914594,231.9467185348862
8600,-370990.1269699128,302.2813656716,232.0738662775465
8700,-371526.093378823,301.7554061189075,232.0738662775465
8800,-370568.94388727844,298.7167884236458,233.06880731891766
8900,-370806.1849485019,296.3464602055211,233.08679028282927
9000,-370644.7387784417,299.01958143792183,233.17196587450908
9100,-371181.0810222483,299.98770944534294,232.74101354451992
9200,-371133.19724938454,300.1486103935575,232.74101354451992
9300,-372018.3858029877,300.56682514061475,232.37072670677372
9400,-372364.59387362294,299.2413550282503,232.37072670677372
9500,-371929.312254834,301.2367709749687,232.37072670677372
9600,-371824.3281769714,300.67129877379966,232.37072670677372
9700,-372068.27748531575,302.86833671957845,231.72786487447107
9800,-371734.51251229766,300.77284997655136,231.72786487447107
9900,-371194.43445687334,301.7121318826393,232.15464770360722
10000,-371453.40285029134,300.1806903295081,232.4066592696306
10100,-372531.77218453394,300.50263174892893,231.43434466797942
10200,-372436.97901110776,299.2410027525213,231.32534821757855
10300,-372396.49838794855,301.34957322232583,231.32534821757855
10400,-372143.0896195697,300.29578949142297,231.32534821757855
10500,-372029.8987706423,300.46053148835557,231.32534821757855
10600,-372112.84621307114,300.90531023379157,231.32534821757855
10700,-371977.4575499979,298.865080614715,231.29035216388164
10800,-371664.8874188479,300.8176206681021,231.29035216388164
10900,-372133.94319463347,302.84685211668335,231.75176710867532
11000,-371760.8999673222,298.2916628877004,231.4585107350591
11100,-371937.4086028057,301.9429729562402,231.23672704625443
11200,-371764.51617170306,299.1884770635708,230.86352460269237
11300,-371647.35506637377,300.3181312676947,230.86352460269237
11400,-371734.9279203216,299.1686751186683,230.21165899481002
11500,-371968.10295136465,301.69356936976664,230.82987002270974
11600,-371881.07344533864,298.74931196499244,231.21128749867316
11700,-372186.71320747084,301.8530053371929,232.03599376042732
11800,-371050.67709113134,297.78611748325227,232.03599376042732
11900,-371603.6529962324,300.3893530023817,232.03599376042732
12000,-371574.40075311024,299.9314306241473,232.03599376042732
12100,-371540.6755280194,302.368512361499,232.086521287867
12200,-370957.6149289773,300.1871855257232,231.9145407979621
12300,-370615.2141798436,298.65511809988226,231.9145407979621
12400,-370634.3197688486,299.78238773728003,231.9145407979621
12500,-371395.5523635147,304.1891794146072,231.91726862286112
12600,-370705.8407672412,299.8129123416427,231.91726862286112
12700,-371481.0334801132,299.5721932739922,232.20774070073858
12800,-371810.7658948472,299.436646430478,232.06697800109083
12900,-370947.92643515806,302.2156085536108,232.06697800109083
13000,-371303.6389773958,303.8474908660203,231.6611416438993
13100,-371145.89412689675,303.29559671262155,231.6611416438993
